Month,Volume
01-08-2020,554.43
02-08-2020,501.86
03-08-2020,508.98
04-08-2020,526.55
05-08-2020,492.26
06-08-2020,459.74
07-08-2020,504.21
08-08-2020,538.93
09-08-2020,440.12
10-08-2020,511.87
11-08-2020,578.27
12-08-2020,558.47
13-08-2020,539.19
14-08-2020,539.34
15-08-2020,489.26
16-08-2020,460.73
17-08-2020,491.93
18-08-2020,492.12
19-08-2020,543.21
20-08-2020,556.27
21-08-2020,548.43
22-08-2020,498.88
23-08-2020,468.13
24-08-2020,551.02
25-08-2020,561.84
26-08-2020,552.49
27-08-2020,544.74
28-08-2020,549.31
29-08-2020,545.21
30-08-2020,493.79
31-08-2020,586.69
01-09-2020,651.97
02-09-2020,638.42
03-09-2020,625.8
04-09-2020,621.85
05-09-2020,624.89
06-09-2020,567.97
07-09-2020,634.74
08-09-2020,662.23
09-09-2020,571.75
10-09-2020,646.68
11-09-2020,624.04
12-09-2020,609.7
13-09-2020,474.74
14-09-2020,631.44
15-09-2020,623.6
16-09-2020,628.73
17-09-2020,402.75
18-09-2020,637.88
19-09-2020,614.3
20-09-2020,454.37
21-09-2020,636.98
22-09-2020,622.35
23-09-2020,607.23
24-09-2020,601.18
25-09-2020,604.82
26-09-2020,501.38
27-09-2020,592.81
28-09-2020,631.77
29-09-2020,599.96
30-09-2020,655.34
01-10-2020,690.78
02-10-2020,668.2
03-10-2020,660.31
04-10-2020,621.62
05-10-2020,662
06-10-2020,663.59
07-10-2020,707.29
08-10-2020,700.44
09-10-2020,703.69
10-10-2020,679.11
11-10-2020,625.09
12-10-2020,690.28
13-10-2020,659.71
14-10-2020,685.48
15-10-2020,716.06
16-10-2020,676.8
17-10-2020,697.41
18-10-2020,641.64
19-10-2020,686.15
20-10-2020,676.48
21-10-2020,688.79
22-10-2020,657.31
23-10-2020,665.35
24-10-2020,638.52
25-10-2020,566.26
26-10-2020,633.45
27-10-2020,648.1
28-10-2020,645.16
29-10-2020,664.37
30-10-2020,671.68
31-10-2020,725.07
01-11-2020,719.36
02-11-2020,772.71
03-11-2020,765.2
04-11-2020,762.26
05-11-2020,726.68
06-11-2020,775.2
07-11-2020,780.74
08-11-2020,772.49
09-11-2020,748.79
10-11-2020,837.68
11-11-2020,809.79
12-11-2020,818.7
13-11-2020,793.01
14-11-2020,739.7
15-11-2020,663.59
16-11-2020,725.27
17-11-2020,762.78
18-11-2020,768.4
19-11-2020,751.04
20-11-2020,754.39
21-11-2020,725.53
22-11-2020,680.9
23-11-2020,725.32
24-11-2020,663.52
25-11-2020,648.03
26-11-2020,669.09
27-11-2020,729.96
28-11-2020,679.99
29-11-2020,641.01
30-11-2020,691.16
01-12-2020,716.24
02-12-2020,692.08
03-12-2020,634.55
04-12-2020,761.09
05-12-2020,776.24
06-12-2020,706.27
07-12-2020,755.12
08-12-2020,574.97
09-12-2020,791.01
10-12-2020,763.53
11-12-2020,750.49
12-12-2020,711.02
13-12-2020,684.78
14-12-2020,724.92
15-12-2020,744.48
16-12-2020,700.36
17-12-2020,737.96
18-12-2020,731.5
19-12-2020,738.81
20-12-2020,694.92
21-12-2020,740.09
22-12-2020,735.6
23-12-2020,739.01
24-12-2020,739.72
25-12-2020,702.45
26-12-2020,706.67
27-12-2020,647.92
28-12-2020,734.21
29-12-2020,712.67
30-12-2020,724.92
31-12-2020,767.98
