Month,Volume
01-06-2020,476.97
02-06-2020,476.78
03-06-2020,456.26
04-06-2020,463.05
05-06-2020,464.79
06-06-2020,458.65
07-06-2020,427.26
08-06-2020,469.99
09-06-2020,466.98
10-06-2020,461.58
11-06-2020,449.65
12-06-2020,453.43
13-06-2020,289.00
14-06-2020,435.87
15-06-2020,463.91
16-06-2020,469.24
17-06-2020,446.58
18-06-2020,433.32
19-06-2020,440.29
20-06-2020,437.75
21-06-2020,356.53
22-06-2020,459.55
23-06-2020,452.99
24-06-2020,477.54
25-06-2020,456.49
26-06-2020,455.45
27-06-2020,436.26
28-06-2020,397.91
29-06-2020,430.17
30-06-2020,505.09
01-07-2020,515.18
02-07-2020,481.96
03-07-2020,507.41
04-07-2020,498.77
05-07-2020,432.52
06-07-2020,503.34
07-07-2020,496.02
08-07-2020,509.11
09-07-2020,485.14
10-07-2020,451.50
11-07-2020,500.95
12-07-2020,434.05
13-07-2020,518.52
14-07-2020,519.60
15-07-2020,499.18
16-07-2020,479.81
17-07-2020,472.60
18-07-2020,462.30
19-07-2020,410.87
20-07-2020,461.25
21-07-2020,437.49
22-07-2020,496.81
23-07-2020,470.34
24-07-2020,483.32
25-07-2020,466.60
26-07-2020,414.17
27-07-2020,501.87
28-07-2020,497.54
29-07-2020,488.78
30-07-2020,525.93
31-07-2020,550.61
01-08-2020,554.43
02-08-2020,501.86
03-08-2020,508.98
04-08-2020,526.55
05-08-2020,492.26
06-08-2020,459.74
07-08-2020,504.21
08-08-2020,538.93
09-08-2020,440.12
10-08-2020,511.87
11-08-2020,578.27
12-08-2020,558.47
13-08-2020,539.19
14-08-2020,539.34
15-08-2020,489.26
16-08-2020,460.73
17-08-2020,491.93
18-08-2020,492.12
19-08-2020,543.21
20-08-2020,556.27
21-08-2020,548.43
22-08-2020,498.88
23-08-2020,468.13
24-08-2020,551.02
25-08-2020,561.84
26-08-2020,552.49
27-08-2020,544.74
28-08-2020,549.31
29-08-2020,545.21
30-08-2020,493.79
31-08-2020,586.69
01-09-2020,651.97
02-09-2020,638.42
03-09-2020,625.80
04-09-2020,621.85
05-09-2020,624.89
06-09-2020,567.97
07-09-2020,634.74
08-09-2020,662.23
09-09-2020,571.75
10-09-2020,646.68
11-09-2020,624.04
12-09-2020,609.70
13-09-2020,474.74
14-09-2020,631.44
15-09-2020,623.60
16-09-2020,628.73
17-09-2020,402.75
18-09-2020,637.88
19-09-2020,614.30
20-09-2020,454.37
21-09-2020,636.98
22-09-2020,622.35
23-09-2020,607.23
24-09-2020,601.18
25-09-2020,604.82
26-09-2020,501.38
27-09-2020,592.81
28-09-2020,631.77
29-09-2020,599.96
30-09-2020,655.34
01-10-2020,690.78
02-10-2020,668.20
03-10-2020,660.31
04-10-2020,621.62
05-10-2020,662.00
06-10-2020,663.59
07-10-2020,707.29
08-10-2020,700.44
09-10-2020,703.69
10-10-2020,679.11
11-10-2020,625.09
12-10-2020,690.28
13-10-2020,659.71
14-10-2020,685.48
15-10-2020,716.06
16-10-2020,676.80
17-10-2020,697.41
18-10-2020,641.64
19-10-2020,686.15
20-10-2020,676.48
21-10-2020,688.79
22-10-2020,657.31
23-10-2020,665.35
24-10-2020,638.52
25-10-2020,566.26
26-10-2020,633.45
27-10-2020,648.10
28-10-2020,645.16
29-10-2020,664.37
30-10-2020,671.68
31-10-2020,725.07
01-11-2020,719.36
02-11-2020,772.71
03-11-2020,765.20
04-11-2020,762.26
05-11-2020,726.68
06-11-2020,775.20
07-11-2020,780.74
08-11-2020,772.49
09-11-2020,748.79
10-11-2020,837.68
11-11-2020,809.79
12-11-2020,818.70
13-11-2020,793.01
14-11-2020,739.70
15-11-2020,663.59
16-11-2020,725.27
17-11-2020,762.78
18-11-2020,768.40
19-11-2020,751.04
20-11-2020,754.39
21-11-2020,725.53
22-11-2020,680.90
23-11-2020,725.32
24-11-2020,663.52
25-11-2020,648.03
26-11-2020,669.09
27-11-2020,729.96
28-11-2020,679.99
29-11-2020,641.01
30-11-2020,691.16
